CH0,,CH1,
X,Y,X,Y
82.98419215,0.007422654,7.458673556,0.001427439
99.59980625,0.0094669,24.07428765,0.001534885
116.2154203,0.008906484,40.68990174,0.001575544
132.8310344,0.007811778,57.30551583,0.001616204
149.4466485,0.008453514,73.92112992,0.001656864
166.8756144,0.013751723,90.53674401,0.002031455
180.506518,0.030982201,107.1523581,0.002472831
188.4681665,0.050301501,123.7679722,0.00217956
194.2126832,0.067201334,140.3835863,0.001819503
199.5955929,0.084098054,156.9992004,0.002127307
204.127124,0.100418331,173.6148145,0.002167967
210.1188151,0.118860416,190.2304286,0.001941482
216.5384842,0.139568712,206.8460427,0.00271679
222.9221888,0.159078745,223.4616567,0.003358525
226.4826775,0.17842736,240.0772708,0.005135626
231.7694638,0.197214637,256.6928849,0.010051678
234.9964632,0.21650148,273.308499,0.016637384
238.5667605,0.237820577,289.9241131,0.024759173
242.0409343,0.258754305,306.5397272,0.034951333
244.608802,0.278980364,323.1553413,0.048816734
246.1193123,0.29920258,339.7709554,0.064348821
249.4424351,0.321315456,356.3865695,0.080343217
250.6508434,0.343129298,371.1895711,0.09568461
253.8732656,0.365650066,385.8415217,0.114013201
256.6928849,0.395921406,401.7018806,0.130154163
260.0693199,0.42531289,418.3174947,0.145355288
262.533525,0.455592183,435.4366123,0.159082783
265.6552465,0.484006214,447.9882342,0.17311554
269.1006487,0.510038679,457.4534453,0.193603899
270.2874783,0.531818651,465.1433163,0.211621594
272.7592225,0.550725191,473.3824637,0.228772414
276.2036439,0.573463186,481.8751235,0.24565414
279.8900085,0.597015929,492.332503,0.261486773
283.1268164,0.61773043,503.1074769,0.276446787
285.392582,0.633073794,514.3859544,0.292088106
288.4136027,0.64973321,528.2071243,0.309783655
291.4346235,0.666800764,540.6688349,0.325309539
294.4556442,0.683460179,552.5515165,0.343484425
298.575218,0.700790145,562.5712353,0.360871127
301.7335578,0.718496214,572.3895527,0.37787252
307.5467341,0.739325468,582.2078701,0.395202756
311.2489654,0.761748497,598.068229,0.409800957
323.0474477,0.784876597,614.6838431,0.419859545
331.5318079,0.805391178,631.2994572,0.429049912
341.513852,0.823252655,648.5444506,0.44017862
348.5822659,0.839950231,663.355844,0.453220856
354.6243074,0.85673948,674.7805772,0.471885164
360.0941858,0.873249054,687.1883409,0.488586313
365.4496317,0.890886293,703.803955,0.497215677
374.5126939,0.907636291,720.4195691,0.497122764
385.4638941,0.924035246,737.0351832,0.48881515
400.1913703,0.938730854,752.6895634,0.473692993
415.5482257,0.933108304,762.0167009,0.458483429
422.0937707,0.916484543,773.0860308,0.442050632
428.3875639,0.896786887,783.1057496,0.424223203
436.4436192,0.877404895,792.1001522,0.407070032
449.3410539,0.874150723,798.9661085,0.3907539
455.2563393,0.891981698,806.5186603,0.375034587
459.1012748,0.910090164,814.0712122,0.357935769
464.4959547,0.931155326,821.6237641,0.341130809
468.0270179,0.95192016,829.8629115,0.324948642
473.7416061,0.971918627,837.5527825,0.309272705
480.3742958,0.991059254,846.5471852,0.293855975
496.8640341,0.988694508,856.3655026,0.277280453
507.6390081,0.973188316,866.8228821,0.263097464
520.6965311,0.964241237,882.0441789,0.24949663
536.1373037,0.956828651,895.4373709,0.230967296
552.7529178,0.954064291,909.5165863,0.213351829
569.3685319,0.960716783,922.5613983,0.196168137
585.984146,0.956220753,934.7106406,0.17816874
596.5577186,0.940346744,944.7303594,0.160206625
606.3073765,0.921670469,954.4324837,0.143564216
613.1733327,0.905450806,963.9354198,0.126783405
622.1202018,0.890170671,975.695822,0.110984453
630.6128616,0.873911036,987.8806057,0.094597947
640.3625194,0.856809007,1000.451409,0.078858263
650.8102162,0.844914034,1016.479602,0.067143116
667.5517061,0.849891614,1033.095216,0.053225462
684.1673202,0.856878037,1049.71083,0.041378181
698.1104929,0.84543007,1066.326444,0.031801629
706.9411689,0.831267321,1082.942058,0.02516367
717.2823553,0.814678277,1098.047162,0.020406869
725.7063554,0.797553336,,
732.5036521,0.780852644,,
736.7834315,0.765231439,,
742.6652673,0.74989614,,
747.8605076,0.73385234,,
754.2000738,0.716998775,,
760.1576112,0.699047869,,
766.2841568,0.680229156,,
772.1888791,0.66281241,,
776.8577294,0.645192281,,
782.3504944,0.628902472,,
786.8820255,0.613241068,,
791.4135566,0.597579665,,
795.9450877,0.580693848,,
800.0234657,0.5630886,,
804.1947982,0.544879536,,
808.7844259,0.526524565,,
812.9726592,0.509905053,,
817.4698605,0.493119331,,
824.5074657,0.473534807,,
829.1763159,0.45572174,,
834.2571235,0.439698067,,
840.2146609,0.421659825,,
847.0506886,0.404054418,,
852.7635163,0.386879517,,
859.1347716,0.370718722,,
869.2048408,0.354397445,,
878.267903,0.337461496,,
887.3309652,0.321198975,,
896.3940275,0.304324248,,
906.0961518,0.287154399,,
914.5201519,0.270170736,,
922.0727038,0.255055467,,
929.6252556,0.239572874,,
936.4225523,0.224080271,,
943.5631468,0.20634746,,
950.3192477,0.189079727,,
956.4368147,0.172724289,,
965.808845,0.155444035,,
973.498716,0.138565947,,
983.1321807,0.121990584,,
992.6351169,0.10586369,,
1006.510234,0.090627459,,
1021.766388,0.07428214,,
1037.626747,0.059113736,,
1054.242361,0.046798951,,
1070.857975,0.037155613,,
1086.394654,0.030896649,,
1099.9353,0.025839723,,
